Data_Pool,Data_Connection,Table,Size(B),Last_Updated
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,VBAP,476047.36,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,VBAP,32075939.84,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,VBAP,1929379.84,2020-11-08 00:38:00
SAP ECC - WM ABeam Template v1,ABeam Cloud R2M,VBAP,1520435.2,2020-11-08 00:38:00
SAP ECC - FI-AR ABeam Template v1,ABeam Cloud R2M,VBAP,426270.72,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,VBAK,206366.72,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,VBAK,11576279.04,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,VBAK,853504.0,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,VBAK,221081.6,2020-11-08 00:38:00
SAP ECC - WM ABeam Template v1,ABeam Cloud R2M,VBAK,664135.68,2020-11-08 00:38:00
Takata version control test,ABeam Cloud R2M,VBAK,416614.4,2020-11-08 00:38:00
SAP ECC - FI-AR ABeam Template v1,ABeam Cloud R2M,VBAK,222904.32,2020-11-08 00:38:00
SAP ECC - PS ABeam Template v1,ABeam Cloud R2M,VBAK,428195.84,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,User,10618.88,2020-11-08 00:38:00
SAP ECC - FI ABeam Template v1,ABeam Cloud R2M,USR02,66611.2,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud3,ABeam Cloud R2Q,USR02,825159.68,2020-11-08 00:38:00
SAP ECC - PS ABeam Template v1,ABeam Cloud R2M,USR02,512563.2,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,USR02,872468.48,2020-11-08 00:38:00
SAP S/4HANA - PP Created by ABeam Cloud,ABeam Cloud R8D,USR02,868034.56,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud,ABeam Cloud R8D,USR02,865157.12,2020-11-08 00:38:00
SAP ECC - P2P ABeam Template v1,ABeam Cloud R2M,USR02,64317.44,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,USR02,535091.2,2020-11-08 00:38:00
SAP ECC - WM ABeam Template v1,ABeam Cloud R2M,USR02,64890.88,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud,ABeam Cloud R2Q,USR02,821719.04,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud3,ABeam Cloud R8D,USR02,871741.44,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud4(Test),ABeam Cloud R8D,USR02,875100.16,2020-11-08 00:38:00
SAP ECC - PM ABeam Template v1,SAP ERP,USR02,517089.28,2020-11-08 00:38:00
SAP ECC - QM-QN ABeam Template v1,SAP ERP,USR02,528373.76,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud4(Test),ABeam Cloud R2Q,USR02,825815.04,2020-11-08 00:38:00
SAP S/4HANA - PP Created by ABeam Cloud,ABeam Cloud R2Q,USR02,824463.36,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,USR02,503879.68,2020-11-08 00:38:00
SAP ECC - FI-AP ABeam Template v1,SAP ECC,USR02,64317.44,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,USR02,824217.6,2020-11-08 00:38:00
Takata version control test,ABeam Cloud R2M,USR02,63252.48,2020-11-08 00:38:00
SAP ECC - FI-AR ABeam Template v1,ABeam Cloud R2M,USR02,64317.44,2020-11-08 00:38:00
